Date,First,Second,Third,Fourth,Fifth,Sixth,Bonus,Winning prize
"25 January, 2018",1,15,23,25,34,47,2,"$2,683,719"
"22 January, 2018",1,2,15,29,32,49,11,"$1,189,362"
"18 January, 2018",2,6,12,17,26,40,44,"$8,614,827"
"15 January, 2018",1,2,6,28,29,49,17,"$4,866,922"
"11 January, 2018",22,24,25,40,45,49,3,"$2,665,260"
"08 January, 2018",6,10,18,36,44,45,46,"$1,232,845"
"05 January, 2018",3,4,13,19,23,47,5,"$12,279,983"
"01 January, 2018",3,9,16,34,45,46,49,"$4,749,012"
"28 December, 2017",1,3,5,16,27,40,26,"$2,546,943"
"25 December, 2017",6,7,14,17,19,29,46,"$1,156,186"
"21 December, 2017",1,2,26,27,35,43,23,"$1,084,370"
"18 December, 2017",2,6,10,19,31,35,34,"$1,145,142"
"14 December, 2017",1,9,13,33,41,48,21,"$4,390,479"
"11 December, 2017",5,12,37,39,42,43,15,"$2,500,938"
"07 December, 2017",9,10,25,37,45,46,40,"$1,050,682"
"04 December, 2017",4,5,19,38,39,40,26,"$7,979,860"
"30 November, 2017",17,22,29,36,38,47,46,"$4,454,482"
"27 November, 2017",7,8,23,30,42,48,38,"$2,527,526"
"23 November, 2017",11,14,41,46,47,49,48,"$1,076,339"
"20 November, 2017",9,11,13,18,20,34,27,"$1,145,119"
"16 November, 2017",11,13,16,27,34,48,30,"$4,699,342"
"13 November, 2017",3,19,21,35,37,44,26,"$2,698,936"
"09 November, 2017",22,31,33,41,44,47,24,"$1,161,815"
"06 November, 2017",2,8,11,15,19,32,47,"$8,106,271"
"02 November, 2017",7,17,18,30,32,47,39,"$4,612,122"
"30 October, 2017",8,20,30,43,46,48,18,"$2,611,214"
"26 October, 2017",3,10,25,32,36,37,6,"$1,076,220"
"23 October, 2017",2,9,23,35,38,48,20,"$8,067,558"
"19 October, 2017",2,4,15,20,26,28,24,"$4,587,285"
"16 October, 2017",6,11,12,34,36,49,3,"$2,607,500"
"12 October, 2017",6,14,17,21,22,37,15,"$1,091,484"
"09 October, 2017",6,14,17,40,43,49,48,"$8,380,725"
"05 October, 2017",9,19,23,36,40,44,20,"$4,670,713"
"02 October, 2017",2,8,17,18,23,42,1,"$2,586,017"
"28 September, 2017",11,12,26,27,29,33,10,"$1,075,538"
"25 September, 2017",7,18,26,34,41,48,8,"$2,564,262"
"21 September, 2017",9,14,15,28,35,37,2,"$1,045,808"
"18 September, 2017",3,15,22,24,32,43,35,"$8,030,687"
"14 September, 2017",12,15,29,36,40,45,16,"$4,501,422"
"11 September, 2017",7,14,17,18,44,48,2,"$2,510,965"
"07 September, 2017",13,19,20,21,32,49,27,"$1,079,304"
"04 September, 2017",10,11,22,36,38,46,13,"$4,623,561"
"31 August, 2017",3,36,39,40,44,47,14,"$2,480,305"
"28 August, 2017",1,21,29,35,39,46,8,"$1,105,628"
"24 August, 2017",11,17,26,30,32,39,33,"$1,020,676"
"21 August, 2017",4,7,12,18,42,47,41,"$7,922,612"
"17 August, 2017",11,15,29,39,41,47,25,"$4,289,929"
"14 August, 2017",2,8,17,22,39,46,6,"$2,388,287"
"10 August, 2017",1,31,39,45,46,49,34,"$1,030,308"
"07 August, 2017",5,17,34,40,42,46,22,"$1,110,516"
"03 August, 2017",14,19,22,27,32,36,40,"$1,074,800"
"31 July, 2017",11,13,14,16,30,43,47,"$2,469,476"
"27 July, 2017",14,20,24,33,37,41,18,"$1,022,057"
"24 July, 2017",2,22,23,32,35,41,7,"$4,418,860"
"20 July, 2017",8,11,35,39,41,43,13,"$2,386,275"
"17 July, 2017",9,11,16,20,27,46,39,"$1,082,283"
"13 July, 2017",24,30,33,34,47,49,12,"$1,059,604"
"10 July, 2017",11,16,31,35,46,48,41,"$2,546,945"
"06 July, 2017",2,4,7,26,40,47,35,"$1,076,809"
"03 July, 2017",5,7,9,27,31,34,40,"$1,119,152"
"29 June, 2017",2,9,13,16,29,40,46,"$4,390,316"
"26 June, 2017",14,20,21,23,25,37,15,"$2,410,123"
"22 June, 2017",4,5,12,20,47,49,25,"$1,018,469"
"19 June, 2017",1,23,30,34,40,42,14,"$4,278,784"
