Date,First,Second,Third,Fourth,Fifth,Sixth,Bonus,Winning prize
"15 July, 2021",3,5,9,14,23,26,20,"$2,842,588"
"12 July, 2021",18,19,23,24,38,45,27,
"08 July, 2021",7,9,15,20,23,40,2,"$2,841,196"
"05 July, 2021",8,14,20,28,29,36,18,"$1,215,022"
"01 July, 2021",4,5,9,17,31,34,8,"$2,852,539"
"28 June, 2021",14,31,32,33,38,47,45,"$1,223,532"
"24 June, 2021",1,12,17,21,24,44,23,"$2,787,777"
"21 June, 2021",7,8,10,14,17,28,45,"$1,207,060"
"17 June, 2021",5,12,15,30,38,43,33,"$2,703,392"
"14 June, 2021",5,16,23,24,28,45,40,"$1,176,671"
"10 June, 2021",1,9,15,22,24,42,10,"$2,719,974"
"07 June, 2021",7,14,23,31,39,41,33,"$1,186,463"
"03 June, 2021",1,7,21,26,30,39,40,"$1,104,725"
"31 May, 2021",14,15,18,19,30,44,6,"$1,146,790"
"27 May, 2021",3,7,9,24,36,38,43,"$1,063,033"
"24 May, 2021",11,18,23,31,32,33,49,"$9,500,557"
"20 May, 2021",7,12,18,29,32,37,44,"$4,810,636"
"17 May, 2021",5,6,11,36,41,46,8,"$2,573,585"
"13 May, 2021",2,4,5,16,39,47,24,"$1,128,608"
"10 May, 2021",6,18,32,33,34,45,8,"$1,202,447"
"06 May, 2021",4,6,12,20,31,35,47,"$1,130,415"
"03 May, 2021",15,17,18,35,41,42,3,"$2,819,520"
"29 April, 2021",2,19,22,29,36,43,5,"$1,158,265"
"26 April, 2021",2,15,18,36,42,49,26,"$1,177,379"
"22 April, 2021",3,17,22,32,38,48,41,"$10,682,746"
"19 April, 2021",8,10,16,17,20,43,32,
"15 April, 2021",10,14,23,25,35,46,39,"$2,873,445"
"12 April, 2021",4,23,27,43,48,49,47,"$1,283,733"
"08 April, 2021",7,8,9,14,28,35,4,
"05 April, 2021",9,11,15,17,25,40,5,"$1,233,854"
"01 April, 2021",10,11,15,21,29,44,26,"$11,048,184"
"29 March, 2021",14,15,20,23,30,35,39,"$5,715,180"
"25 March, 2021",4,16,17,20,22,44,38,"$2,867,653"
"22 March, 2021",2,12,20,35,37,44,17,"$1,285,850"
"18 March, 2021",2,5,12,24,25,29,3,"$1,199,310"
"15 March, 2021",12,15,19,28,35,43,44,
"11 March, 2021",12,19,26,41,46,47,35,"$1,291,606"
"08 March, 2021",8,13,17,27,33,40,38,"$6,323,496"
"04 March, 2021",11,12,20,28,30,38,27,"$3,018,668"
"01 March, 2021",5,6,7,13,25,37,30,"$1,289,048"
"26 February, 2021",21,24,40,42,44,48,1,"$11,930,891"
"22 February, 2021",3,6,8,11,36,48,1,"$1,692,314"
"18 February, 2021",1,4,6,15,40,44,37,"$3,778,784"
"15 February, 2021",9,13,18,20,34,40,36,"$1,663,053"
"11 February, 2021",10,23,25,28,46,49,36,"$1,549,792"
"08 February, 2021",9,10,25,27,34,42,29,"$12,505,336"
"05 February, 2021",8,9,11,24,26,47,34,"$5,756,800"
"01 February, 2021",4,6,9,18,27,39,33,"$5,963,669"
"28 January, 2021",6,16,25,32,35,37,22,
"25 January, 2021",8,9,12,17,33,39,48,"$1,237,120"
"21 January, 2021",8,11,15,17,19,35,45,"$1,173,182"
"18 January, 2021",2,12,23,33,35,37,43,"$1,242,653"
"14 January, 2021",12,21,23,25,32,44,42,"$1,201,368"
"11 January, 2021",3,5,8,19,26,47,41,"$1,226,996"
"07 January, 2021",1,7,9,12,32,36,17,"$1,203,865"
"04 January, 2021",4,5,8,12,27,42,14,"$10,877,387"
"01 January, 2021",5,8,13,16,35,47,2,"$5,000,000"
"28 December, 2020",32,34,40,45,46,47,25,"$2,665,122"
"24 December, 2020",5,11,19,21,22,37,26,"$1,085,845"
"21 December, 2020",4,8,15,31,36,39,47,"$5,276,378"
"17 December, 2020",5,8,27,33,35,41,30,"$2,572,958"
"14 December, 2020",6,21,29,45,47,48,15,"$1,129,379"
"10 December, 2020",10,17,22,23,27,33,34,"$1,078,941"
"07 December, 2020",7,13,14,33,37,48,24,"$1,157,744"
"03 December, 2020",1,7,8,11,36,40,31,"$5,087,689"
"30 November, 2020",2,3,25,33,35,49,10,"$2,585,321"
"26 November, 2020",2,5,8,27,35,48,29,"$1,069,500"
"23 November, 2020",1,7,11,22,30,45,48,"$1,087,867"
"19 November, 2020",3,12,22,23,34,42,49,"$2,561,272"
"16 November, 2020",1,2,20,27,36,44,17,"$1,121,332"
"12 November, 2020",9,11,14,22,26,35,20,"$5,049,960"
"09 November, 2020",8,12,13,30,37,46,36,"$2,604,051"
"05 November, 2020",3,19,25,33,40,44,37,"$1,073,493"
"02 November, 2020",3,36,37,44,48,49,35,"$2,621,371"
"29 October, 2020",10,12,27,37,39,46,13,"$1,097,144"
"26 October, 2020",2,8,11,19,41,49,27,"$2,537,135"
"22 October, 2020",11,25,28,30,34,36,24,"$1,047,682"
"19 October, 2020",9,10,11,13,20,25,15,"$2,510,030"
"15 October, 2020",14,27,28,31,46,48,7,
"12 October, 2020",1,10,14,40,41,48,30,"$1,129,342"
"08 October, 2020",2,3,7,12,21,34,41,"$2,508,725"
"05 October, 2020",7,10,14,15,39,44,1,
"01 October, 2020",7,10,11,21,26,48,13,"$2,491,507"
"28 September, 2020",5,16,27,34,41,42,49,"$1,058,349"
"24 September, 2020",4,31,36,40,45,48,26,"$2,402,433"
"21 September, 2020",13,16,17,20,27,38,26,"$1,053,936"
"17 September, 2020",1,3,9,19,36,39,5,"$1,015,508"
"14 September, 2020",2,11,13,15,28,45,36,"$1,027,357"
"10 September, 2020",15,21,27,36,39,43,45,
"07 September, 2020",9,11,19,22,36,45,23,"$1,043,391"
"03 September, 2020",4,16,27,32,44,47,9,"$1,000,000"
"31 August, 2020",12,15,16,23,25,46,47,"$1,063,603"
"27 August, 2020",2,10,13,32,41,43,24,"$2,290,680"
"24 August, 2020",1,19,24,26,37,41,22,"$1,029,127"
"20 August, 2020",6,15,19,26,30,48,41,"$1,000,000"
"17 August, 2020",1,2,15,30,35,46,38,"$2,265,634"
"13 August, 2020",5,9,29,41,42,43,28,"$979,239"
"10 August, 2020",9,19,20,29,36,43,38,"$2,283,630"
"06 August, 2020",10,28,35,39,41,43,44,"$979,323"
"03 August, 2020",1,3,10,15,32,40,7,"$1,036,188"
"30 July, 2020",18,24,34,38,43,48,8,"$1,000,000"
"27 July, 2020",4,19,25,31,34,37,32,"$2,094,834"
"23 July, 2020",4,12,13,20,35,36,18,
"20 July, 2020",1,20,23,24,40,42,48,"$2,067,630"
"16 July, 2020",5,18,27,28,29,37,21,"$894,121"
"13 July, 2020",6,22,34,35,37,43,33,"$1,991,057"
"09 July, 2020",8,10,12,16,21,48,41,"$889,194"
"06 July, 2020",1,22,26,38,39,48,40,"$1,960,305"
"02 July, 2020",3,20,36,38,43,48,16,"$838,079"
